Package Name,Reviewer Name,Review,Rating
com.google.android.apps.messaging,Terry Griffirh,All good,5
com.google.android.apps.messaging,Ralph Piñeiro,Google is the greatest!!!,5
com.google.android.apps.messaging,Mihir Dave,"It's a good, functional app. Does it's job.",3
com.google.android.apps.messaging,Daphne Rodrigues,I love the convient options given.,5
com.google.android.apps.messaging,Ed Coke,"Great app that allows me to edit, send, and save messages. It's truly remarkable and truly clutch.",5
com.google.android.apps.messaging,Raheme Jones,Good app,5
com.google.android.apps.messaging,Riazul Islam,Good,5
com.google.android.apps.messaging,WONDERFUL RESCUENOW,Timely application,5
com.google.android.apps.messaging,Mr KunaKesho Faddy,Amazing App,3
com.google.android.apps.messaging,Matthew Jednoroz,It's a text message app....what praise do you want.,1
com.google.android.apps.messaging,Velvet Mcgowan,It's quick & easy to set up & use also it doesn't buff,5
com.google.android.apps.messaging,Sherriff S,Messages don't send or deliver. Creating communication problems. If they do I get them days later. Would have been faster to send a letter in the mail.,1
com.google.android.apps.messaging,Kusuma Tg,Excellent service good,5
com.google.android.apps.messaging,Jim,"I am not hearing any notifications from this app when I'm getting a message. On everything else on my phone, and I would not have made this review if I hadn't checked everything before I let you know, everything else is working the right way. I have reinstalled this anticipating it might have been an update and I also send a message through the app about the same issue. So anytime you want to help me or any way you can just let me know",1
com.google.android.apps.messaging,Jennifer Ann Campos,Slow loading,3
com.google.android.apps.messaging,faizan ali,Good,5
com.google.android.apps.messaging,Bezalel Gasper,the app is great all the interface an functions are awesome but the only thing annoying is that there is no customization of the chat background and this is really annoying can you please add that to the settings.,4
com.google.android.apps.messaging,Cakey,"Messaging app, nothing much",4
com.google.android.apps.messaging,Shravan Kumar Bandaru,Unable to distinguish between the SIM1 and SIM2 messages in the conversations in one go.,3
com.google.android.apps.messaging,Pablo Pedroza,Do it🔒,5
com.google.android.apps.messaging,ifegbo felix,Very nice,5
com.google.android.apps.messaging,PROFFXCRYPTEX HOT HILL,This app is great from start to end,5
com.google.android.apps.messaging,Collman Assenga,Nice,3
com.google.android.apps.messaging,Tembani Mentele,💯 percent,5
com.google.android.apps.messaging,shoaib khan,Nice,5
com.google.android.apps.messaging,Gary Breniser,"Text too field and text message field are almost exactly the same color, going back to samsung until color option is added",1
com.google.android.apps.messaging,Charles,New Icon.....really? It sucks lol,3
com.google.android.apps.messaging,Tim Berry,Great!,5
com.google.android.apps.messaging,John Ndung'u,Creating group feature among others is an amazing feature,5
com.google.android.apps.messaging,I. A. O.,"UPDATE-23-3-23: Now I can change text size, backgrownd, & other parameters!",4
com.google.android.apps.messaging,Bello Olayinka,Very good,5
com.google.android.apps.messaging,Miguel Calderon,Just good 👍,5
com.google.android.apps.messaging,Justin Shepherd,App is worthless!! Have to keep clicking on pics I received multiple times before it downloads. But yet my girls phone automatically received everytime.... worthless app!,1
com.google.android.apps.messaging,Heather Cross,Same as all the other apps run by Google invade your privacy and if anyone hacks your Google account or your Gmail they're going to have access to Google everything you can download other message and call apps that are like meant for Android,1
com.google.android.apps.messaging,Kelvin Komene,Great app,5
com.google.android.apps.messaging,Along Boy,Nice,3
com.google.android.apps.messaging,Rahul Thakur,Good,5
com.google.android.apps.messaging,Cecilia Villeda,Because it is very helpful and it doesn't lage,5
com.google.android.apps.messaging,Timmy Fitzsimmons,Extremely convenient,5
com.google.android.apps.messaging,Nagesh Janrao,Good,5
com.google.android.apps.messaging,Jay Vasbinder,Don't want it,1
com.google.android.apps.messaging,Shirley Kartchner,App keeps closing while I am typing,1
com.google.android.apps.messaging,Stephen Boniphace,Okay,5
com.google.android.apps.messaging,Cindy Parker (nini674u),It won't open😡,1
com.google.android.apps.messaging,Sherri Shunk,So far so good we will see,3
com.google.android.apps.messaging,Barbara,It works great for me.,5
com.google.android.apps.messaging,Revy “Rev” Furious,Works fine,5
com.google.android.apps.messaging,Georgette Jones,I love yous and messages I think it's great it gets the point across and it helps me stay with the family,5
com.google.android.apps.messaging,Carli Lemstra,Ook van de beste,4
com.google.android.apps.messaging,NEON_ PLAYER,Perfect,5
com.google.android.apps.messaging,Roger H,Lousy sorting,3
com.google.android.apps.messaging,David Reed,"Decent replacement. Buggy. Only sometimes get the custom sound you've setup for a person. Then again, you only sometimes get any notification at all. Sometimes won't send for hours. Or ever. But you get no notification that it wasn't sent. Looking for a replacement.",3
com.google.android.apps.messaging,Chandra kishore Rathore,Improve bugs,1
com.google.android.apps.messaging,Greg Diamente,Overall Google has performed with excellence I trust only Google with my data backups and my password management and I have used Google Chrome exclusively to browse the internet over the last decade. Google maps and Google messaging are my only choices for their respective tasks and I only trust playstore.,5
com.google.android.apps.messaging,Abdulkadir rabiu Lawan,It's so smart,5
com.google.android.apps.messaging,Kirk Taylor,too many questions,3
com.google.android.apps.messaging,NOT YOURS,Awesome,5
com.google.android.apps.messaging,Itz eminent KP,"Full of bugs, ""Can't reply to this short code"" below the message screen keeps glitching""",1
com.google.android.apps.messaging,shanmugaraj raj,Super,5
com.google.android.apps.messaging,E G Smith,Simple and easy to use,5
com.google.android.apps.messaging,Aliyappa Ali Ali,Very Good app and very easy to use..,5
com.google.android.apps.messaging,SerbianGuy,I don't like that I have to use internet to send But sometimes it is good,3
com.google.android.apps.messaging,Peggy Baldwin,I am totally empowered to select your franchise in all acid do to my friend of expedition,5
com.google.android.apps.messaging,Joe P535,Where is the message box to message someone?,1
com.google.android.apps.messaging,Akash Gupta,"""Can't reply to this short code"" message keeps flickering, how has this bug not been fixed yet??",2
com.google.android.apps.messaging,Danny HK Kayabala,Excellent,5
com.google.android.apps.messaging,Aarif Khan,"If I had option to change, I never use this app but unfortunately OnePlus 11R has no option to change",2
com.google.android.apps.messaging,Glenda Greene,Love this app it is easier,5
com.google.android.apps.messaging,biswajit jana,Good,5
com.google.android.apps.messaging,michael,I want to kñow why i'm getting notifications from this and yet no messages there to open.,1
com.google.android.apps.messaging,Adolfo Sanchez,Good app,5
com.google.android.apps.messaging,Biswajit Mohanty,Best,5
com.google.android.apps.messaging,Smith's Siyethemba,Best app simple and upgraded with new features,5
com.google.android.apps.messaging,L Perkins,Text messaging Service is Awesome! Give it a Thumbs up!!,5
com.google.android.apps.messaging,Satish Dandu,Very good,4
com.google.android.apps.messaging,Eva Espinoza,"I cant check if some have read my message anymore, or when some is typing. It delays sent mesages. Disappointing i better switch to another messaging Ap.",1
com.google.android.apps.messaging,Angad Behera,Desi aunty sex nxx,5
com.google.android.apps.messaging,Emily Thruman,Easy Fast,5
com.google.android.apps.messaging,Kedir Zeinu,I love it,5
com.google.android.apps.messaging,zither q,"The icon looks like I have double vision, but it seems good with the rest.",5
com.google.android.apps.messaging,Allan Myerscough,It's not a bad app at all.,4
com.google.android.apps.messaging,Samay Lal,Very nice 👍,5
com.google.android.apps.messaging,Shaina Marie,Reliable app love that it allows us to change group names but kinda lame we can't change backgrounds or anything. Still recommend over most other messenger apps.,4
com.google.android.apps.messaging,ral islegend,Just another individual profiling app stealing all our private information and no doubt selling it to the highest bidder. Google shite hawks!!,1
com.google.android.apps.messaging,Cee Mace,"No issues encountered, excellent app!!",5
com.google.android.apps.messaging,Vivek Peter Selvanayagam,Shaky banner at the bottom for non repliable messages. Noted in S22 and S23 ultra.,1
com.google.android.apps.messaging,Anayesu Hillary,Nice,5
com.google.android.apps.messaging,GF Urself,"Typical Google, wasting my time with BS. I want to use the product NOT, get interrupted multiple times a day with your (unhelpful) hints & other non productive items. Sush as this, when I was attempting to dual confirm a sign it. Does anyone at Google actually use (or test) any of their products? Many great ideas, that are 70% effective but waste too much (non productive) time to operate",3
com.google.android.apps.messaging,Christine Allen,"It's good, but I wish we could change the fonts",4
com.google.android.apps.messaging,Kevin van Staden,"In messages the notification ""can't reply to this short code"" is flickering. Using a Samsung. Can't solve this problem, even after clearing cache and data of app, and also after force restarting the phone. Edit.... You didn't even read my review! WHAT A JOKE!!!!!",1
com.google.android.apps.messaging,Rohan Anerao,Ok,5
com.google.android.apps.messaging,Kukuh Wikartomo,"""Cant reply to this shortcut"" seems like flickering when used gesture navigation.. Yes, the uninstall update works, but I need to turn off auto updates for my apps.",1
com.google.android.apps.messaging,Robert Martin,It sucks,1
com.google.android.apps.messaging,Suresh Suri,Very bad,1
com.google.android.apps.messaging,Bhimappa S hooli,Good,3
com.google.android.apps.messaging,Mohanish Patil,Incoming message given link blinking fast with invisible,2
com.google.android.apps.messaging,Sky Sam,"After new Mar 2023 update, app crashes everytime I click on the in-app stickers option",2
com.google.android.apps.messaging,Saran SK,Nice 🙂👍,3
com.google.android.apps.messaging,Hastie Bigham,Awesome 👍,4
com.google.android.apps.messaging,Harsh (Pandit),I m so happy ☺️,5
com.google.android.apps.messaging,Manny F.,My pixel 5 connects messages to my Samsung Galaxy tablet. I have difficulty deleting texts on my tablet. I have to uninstall Messages on my tablet and reinstall to delete messages.,2
com.google.android.apps.messaging,Dan Recktenwall,Just about ever issue you can think of. very poor app.,1
com.google.android.apps.messaging,Kevin Minke,"This app came recommended to me when I got my android phone last year. And this past month, it has been absolutely horrible. Text aren't being sent or 3-4 copies are being sent, even when the app says it wasn't delivered. Then I'm receiving duplicate texts, over and over, from various people. I'm not receiving group texts, or I have to manually download them because they're stuck in outer space somewhere. It's just become annoying to even use. Edit: developer responded. But their link is broken",2
com.google.android.apps.messaging,Ali Haider,Good luck,1
com.google.android.apps.messaging,Philip Hill,Function at its best!,5
com.google.android.apps.messaging,Lovena Singla,Gd,5
