Package Name,Reviewer Name,Review,Rating
com.textra,Douglas Calkins,Forcing you to use the app as your default literally defeats the purpose of having a separate way of texting and a second number. Ridiculous,1
com.textra,Daniel deCavaignac,"I would love the ability to restrict searches to just the thread address (not all the text). Also I need a way to delete threads, not just hide them, so they don't appear in search results.",4
com.textra,Calvin Tyson,I wanted to send group texts and have the replies come to me. This app does that and more. Being able to color code my contacts adds a nice touch too.,4
com.textra,Tess Cook,"I've been using this app for as long as I've had a dmart phone. The way it makes my messages look just is much cleaner and more satusfying than how the preinstalled messenger app looks. Great for group messaging, which is something I couldn't find on any other app. Really love the layout of all of it. It's nice because it doesn't haggle you for upgrade fees like go sms or others",5
com.textra,Michelle Arlene,"So far, so good! I had been using the pre-installed Google Messenger for years with no problem, but all of a sudden messages I sent weren't being being received by friends although I was getting messages they sent to me. I tried several other messaging apps, but the same thing was happening. I had a flash of inspiration and disabled Google Messenger. That worked, and my outgoing messages are being received. I decided to stay with this one because it seems to have the best features.",5
com.textra,Stuart Beasley,Works Great,5
com.textra,Maurice Milligan,"This is easy to use, clear and well-engineered. Just simple and efficient. Why can't more apps be like this?",5
com.textra,Jen Gee (Jen),I love this app but recently upgraded my phone and now it seems to be acting very strangely. I either receive the same picture 3x (and once I received one 29x!) from a contact. I also have a lot of trouble sending short videos. I might have to switch apps :(,3
com.textra,Trish T,Great features but the one I want doesn't work regularly. Bitmoji and other mood emotions avatars created by me load and disappear and do not appear in my text. I use these for mood rather than texting words. Too bad! Deleting today.,3
com.textra,Martin Noe,"I've used Textra for a long time. Let me tell you there's nothing out there that can beat this app, and I've tried them all. However, because my eyes are very sensitive to light, I'm forced to turn on the ""Force Dark Mode"" in Developer Options for those apps that don't offer dark mode on their own. When I do that, the colors on Textra become very skewed, light color text on light colored backgrounds. Textra simply does not work properly in that mode, and I can't use it. I hope you can fix it.",4
com.textra,Cousin Benson,"It has a fundamental flaw which the developers do not seem bothered about fixing. No default setting for which sim card to send messages from and so I inadvertently sent some from my Pay As You Go second sim and was charged. If you want to charge Â£4.49 for the upgraded app, make sure it is absolutely flawless and if people highlight aspects then make them better. When going into groups the contacts are not displayed alphabetically. 3 years llater and still not addressed the default sim flaw!",1
com.textra,Brittany Johnson,So far I like it but the whole reason I got this app was bc I seen a video that said i would be able to customize individual contact's text notification sounds but I haven't been able to figure out how to yet. But if I do I'll be sure to do an update..,3
com.textra,J L R,"I had heard good things about Textra, but the amount of texts I never received is actually having a pretty significant impact on my life so I need to find something else. I'm also not super impressed with the fact that I need to have mobile data on to send a photo.",2
com.textra,Scream.X,1 tiny ad a few times a week at the top. Don't even notice 1/2 the time.,5
com.textra,Arjun Singh,Very useful and stable,5
com.textra,Jon Rickell,"I love this app, but since moving to TMobile lately I cannot send texts to Verizon users. Unfortunately, if I can't depend on the message getting to who it needs to get to I can't use the app. Maybe I'm doing something wrong ðŸ˜ž EDIT: It was just me doing something wrong, thank you so much for the help!",5
com.textra,Jay K,"I have tried several other texting apps. This is the one for me. But I do admit that I use encrypted texting apps, Signal and Whatsapp.",5
com.textra,John Goncalves,"I've been using textra for a while, really like it, does everything and more, quite a few options, highly recommended. A lot of options.",5
com.textra,Tony Ruiz,"It's very good, but I wish it would allow more than one signature.",4
com.textra,b L,"Loved this app, until it began having problems not allowing messages to open and at times my texts weren't rcvd. They state it is from a problem within my cell service provider. Funny how it worked for so long with no problems. Maybe due to their constant updating of the app is when things went south.",1
com.textra,JD Morse,"Update 3/22/23 after dev responded. Thanks dev, that worked for keeping my message as unread. However, I still have this one original complaint. So far my only complaint is that you can't mark the message read from the notification.",4
com.textra,Vannessa,Sms mms delivery,5
com.textra,kingsteven Campbelldaddy,kingstevendasddy,5
com.textra,Hector V,This is an Awesome texting app!!!,5
com.textra,Sam Us,"This app is great for texting, love it and have used it every day for years across multiple phones. The support team is also really responsive if there are any rare issues or in one case when I suggested a feature and not long later they implemented it! Definitely recommend.",5
com.textra,Chris Gullett,does not send pictures very well,3
com.textra,Marybeth Martin,Textra is great!! The messaging is customizable in so many ways that make it a million times more versatile than a stock messaging app. I love the background color choices and the font styles and sizes. I love this app!!!,5
com.textra,A Google user,"This is still a great app. However, I have moved on to other apps that allow archiving of old messages. If you will bring this function to this app, I will be back.",3
com.textra,Faith Wright,"Love it and I've tried several messaging apps. I've been an avid GO SMS PRO user for years and this tops even that app! Suggestion: Please make a pop up chat head when you get a message. And the option to customize the ringtones for each contact. Also, customizable contact backgrounds. Then it will be the perfect app. Most messaging apps have those features. They're all quite helpful. Thanks for an amazing app! ðŸ˜Š",5
com.textra,Andy Goodwin,brilliant app,5
com.textra,BBLI PRINCESS,Love this app. I'm able to have different notifications for my contacts. Very user friendly. Great features. I noticed when I try to send a gif it goes away and an exclamation comes up. How do I fix that?,4
com.textra,SLP,"I can't get an audible notification anymore, I did switch to Google Pixel 7 Pro, so I don't know if that matters. Additionally all of the text messages from any person are separate (individual) messages when I search for a contact in Textra. This is a change, messy and very annoying. Otherwise great app, I've used for years.",3
com.textra,Kenneth Robbins,one of the best texting apps available,4
com.textra,Smash Bridges,"8 years later, several phones, no complaints. Have encouraged several friends to join me here. Very happy. Could not be happier with this app. Finally decided I had enough of Go and the ads, bad emojis, poor backup...started using Textra and I've found my new favorite messing app! Customizable, iOS emojis, colors, and works spectacularly!",5
com.textra,Laini Mitchell,Great texting app ðŸ‘,5
com.textra,Shawna Huff,Pictures & media won't send or either take a long time to send since the last update.,3
com.textra,Cass,Was loving this app. Had upgraded to pro. But can not send pictures/gifs/emojis. They disappear if I try writing any text next to them. In my business I need to send product pictures but have to resort to social media apps instead.,3
com.textra,Mrbacon60,"Best texting app I've ever had, customer service got back to me same day",5
com.textra,Mike Parker,"New update is a struggle. Can't send MMS texts when attached to wifi for some reason. Pics, group chats ect. Have to disconnect from wifi to send. Very annoying",1
com.textra,Jason Florence,Is Textra sms encrypted?,3
com.textra,Carla Jones,"I would have given 5*, but even after I read some texts, the notification is still there.",3
com.textra,Daniel Hennen,I love the reactions feature and everything else is so easy to use.,5
com.textra,Kim Bonet,Easy to use. Looks cool and I love the customization options.,5
com.textra,Aaron,Absolutely love it! So many options.,5
com.textra,Jon Harrison,I love Textra over my phone's standard SMS app because of the extra features. One of my favorites is the app's color options.,5
com.textra,Bee,I've been using Textra for years. Looks like my old review was from 2018 and I loved it even then when it still had things it needed to function a specific way. I purchased the ad free version almost immediately after downloading it. I'll never go back to a normal messaging app again. I'm a Textra girl for life!,5
com.textra,Jae D.,Great app! Easy to use.,5
com.textra,Karen Belcourt,Best app i have ever had runs great,5
com.textra,DJ M3F3 (Martin),"been using for years, long overdue for a review. S-tier texting app just download it already.",5
com.textra,Rose G,"I like some of the features of this app such as being able to change the colors for individuals, the delete functions and more. It's simple to use and fun. As of August 2022 I am still using Textra. I find it is the best for me. They keep improving it and adding more features. It's still simple and very user friendly. I've made mine very pretty colors. 3/21/2023 I continue to use this app and love it. It's visually pleasing and the appearance is easily modified to your liking. So nice!",5
com.textra,Josh AR,Excellent messaging app.,5
com.textra,Brian Wilson,works well better than regular messaging app,5
com.textra,Lloyd (blknite55),"Since last update, I keep getting an error message when trying to send a text. After a couple of tries it goes through, wonder if anyone else has been having this problem!!(3/10/2023) new update seems to have fixed the glitch of me not being able to send photos or gifs",5
com.textra,Sepehr Ariaei,That's great,5
com.textra,Dirgha raj Adhikari,Fine apps,5
com.textra,Bob Khoury,"Love it. Lots of options, delayed sends, color schemes, etc It's 2023 and I'm still using it! Love it",5
com.textra,Lance Borden,Easy to use.,5
com.textra,Brandi Layton,this app is super easy to use and you can customize each contact/Convo with any color.,5
com.textra,Tony Stevens,This is the best message app I have come across.,5
com.textra,William Daniel,This is a great app with way more flexibility and features than other texting apps.,5
com.textra,Brian Parrott,Prefect for custom texting. But not videos. I can't send a 16 second video.,5
com.textra,katy winter,"Awesome app - my original review was 2018, and it's 2023, so been using it exclusively for five years. Love using it as it's much better than the default for Samsung, and wouldn't go to anything else. Love the colour coding, love the delay send send function, and all the custom notification symbols so I can see easily if important people have messaged.",5
com.textra,Bob Foster,"Love this app, keeps getting better.",5
com.textra,Anthony Lincoln (Ooda),I love it. Simple to use. Easy to navigate through if I need to change colors or customize threads. Update: why was the change put where I can't send a voice message via text? Update back to 5 stars. Thanks for your help,5
com.textra,Edwin Jackson,"Great app, adds features that should have been in the stock application. Keeps getting better. Been using it for years.",5
com.textra,John S. DeSimone,"gets the job done without bs, though wish keyboard always had numbers line",4
com.textra,Arick Hauschild,"This has been my default SMS app for 8 years! I love all the customization features and how I no longer have that ""xyz liked the message"" app in texts with iOS users. I originally got this app because my native SMS app didn't support group chats very well, and I've been happy with it every since. The couple of times I've reached out to tech support for an issue they were quick to respond with a resolution for me. Great app!",5
com.textra,Jon H,"4.60 completely broke on my phone, constantly force closed, I had to download 4.56 from a website.. Pain in the butt backing up all your messages and calls history in case something goes wrong.. Now there's 4.61 and what does the changelog say.. ""Some bug fixes"", not ""addressed this issue or that issue"".. Nope let's be as vague as possible. Think I'll skip 4.61 and wait for a version that actually has a changelog. Are there any other good sms apps out there?",4
com.textra,Shozi Malik,Textra eat up some messages I mean we dont receive some messages while using Textra please fix this Serious issue this is amazing and One of my most favorite app of play store,4
com.textra,Karl Baer,Worth it,5
com.textra,Miles Wiggins,Textra works way better than the default messaging apps that phone manufacturers use!!!!,5
com.textra,Tracy Rosenberg,Works well.,5
com.textra,Glenda Joanne Duming,"Reliable, fast.",5
com.textra,Rod Cozad,Good texting app..,5
com.textra,Tony Fici,"Went from seeing likes on pictures and GIFs to now going back to messages of ""Liked an image"" as if the app updates are going backwards.",4
com.textra,SubjectTea9 2,"I absolutely love Textra. Just one request: Developer, could you please make it so I can give custom names to group chats? For example, I could name one ""Work Chat"", another one ""School Chat"", etc. Thank you so much! Textra is honestly the most beautiful and wonderful texting app I've ever had the pleasure of using on Android. I bought premium because it was worth it. Default messaging apps are way behind Textra, Textra is so much nicer! Thanks. May God bless. Jesus Christ loves you! Take care.",5
com.textra,ARTHUR LOPEZ,Best app for me better than preloaded app will continue to use textra its got lots of extras which I like,5
com.textra,Philip Kalas,My new favorite message app again,5
com.textra,Larry Lang,"Let's me add a signature, which is important to me being a Realtor.",5
com.textra,Donald Gomez Erving,Everything about this messaging app is better than the best of any other messaging app out there. Period.,5
com.textra,Scott Van West,Best SMS app. Always quick response from dev if any issues,5
com.textra,James Adams,Best app out there.,5
com.textra,Joseph Hamilton,Awesome,5
com.textra,Arun Karma Johorey,It's been more than 6 years now since using Textra SMS & it's still at the top of my choice. Loving it!,5
com.textra,Mrs. Malieka M. Pace,"I love this app! I have the Pro version and I have been so happy with how you can customize everything. AND..when you need help, you can email the help desk and someone will walk you through your issue. ðŸ‘ðŸ½",5
com.textra,Ken,"Good UI, but disappointed. Misses several incoming messages the Samsung app 
can receive. No auto-replies. I have the paid version.",5
com.textra,John Jensen,An excellent app that gets updated periodically. the ability to change things to fit my liking is especially a plus. I wish it would allow me to send videos,5
com.textra,Darcy Moore,"Excellent customisation options. A pleasure to use. One annoyance, which had been raised for years now, is in relation to the scheduling feature. There is no ""recurring"" option. This option has certainly been available in other message apps I've used.",4
com.textra,YM 23az,"Recently can't see or access Textra text msgs with the Textra app on my Samsung Phone. It is automatically direct to Google Play. Have to log in Google Play in order to access Textra, then open app to see text msg. This never happened before and is occurring frequently. It feels that this app is collecting some kind of info or monitoring the text msg. If this happens again, will be looking for another text msg app.",2
com.textra,Alex Fernandez,"Still the best msg app out there. One downside thing it's been doing lately is whenever a new message is received, the badge app icon will show (4) new messages and it's actually only (1). And it does it for every message. It will show (8) if it's actually only (2) messages and so forth. So that's annoying. But otherwise, it's a reliable app.",4
com.textra,Chris Doehring,Good for the most part. Only issue is receiving texts and some dont notify without opening the app. I have a samsung s22+ but this has happened wirh every samsung Ive had. Update: never contacted so thats on me. Newest update caused contacts to start new conversations and old conversations are no longer attainable without a search. So essentially new conversations.,4
com.textra,david cruz,Awesome app ðŸ˜€ðŸ‘ used it for many years.. better than any default sms app on your phone â­â­â­â­â­,5
com.textra,Kevin Spears,"Like the customization options and app, but one issue: The quick reply notification keeps coming up when phone has restarted and seems at regular intervals through the day when this option has been turbed off in system notification settings. This is being changed without my input to tell it to do so, more a personal annoyance than anything major, would like the devs to investigate android 11 on a moto one 5g ace phone for reference. And Delicious, mine still had that on, off now let's see. Thks",5
com.textra,Abdulwahab Abdul rahman,"Recommend that can add aviator for sender and receiver in chatting page, and the message writing message can be on a thumbnail page .. Any can be written more than a line at the same time. How Can I sent more than 160 chars?. Please let me know how?. Waiting for yourself reply.",3
com.textra,Shonda C.,"I've had this app for a whil I love that reactions have been added to the app! The keep feature is wonderful! I have a severe vision impairment and this is one of the only apps I can use that doesn't hurt my eyes. We need more reactions though! Please... We need the ,ðŸ˜˜ðŸ”¥ðŸ˜â˜ºï¸ðŸ¥°ðŸ˜ðŸ˜ðŸ¤©ðŸ˜ªðŸ˜…ðŸ¤”ðŸ™„ðŸ§ðŸ˜“ðŸ˜³ faces lol. Also an ability to reply to individual messages? Chats can get hectic sometimes! I'm emailing about the back up option you mentioned! ðŸ’¯ Great job Devs! ðŸ’ªðŸ½",3
com.textra,Carl Emerson,"Been using this app since 2014. I've switched and had multiple different phones, but this app still is the only messenger app I will use.",5
com.textra,Peachland Taxi,FiXED in 2023 version ! Awesome crew ! Almost perfect ! Would like different font size for contacts / title vs body of text,5
com.textra,A Google user,This is a great sms and mms program not bloaty and is very easy to use and customize Update: been using this app for years. I find it to be as good as it was when I first installed it. Developer continuously makes updates to address any issues that arise when phone providers date their OS.,5
com.textra,John mccaffrey,works flawlessly!,5
com.textra,Joalesh S,Still using it in 2023! Nice! It's the 1st app I download when I get a new phone! Still using it!,5
com.textra,K. Mac,"Thanks for getting back to me regarding the issue of scheduling text reminders to myself. Seeing as how that's out of your control, I have no issue giving this app a 5 star rating. Love the spam blockers!",5
com.textra,Jason lethborg,Have been using Textra as my main sms app since 2018. Always been fantastic.,5
com.textra,Cal Desmond-Pearson,"Brilliant app! Best on the market! I've even bought the Pro version (a rare occurrence for a parsimonious creature like me ðŸ˜ƒ) Only issue I have, and that's not the fault of the Textra Devs, rather it's fault of Android. It's just that every morning when phone wakes up I have to reset Textra as default instead of Messages! I've tried every way I know of to stop Messages taking over ðŸ¤¬ . Only permanent solution I can think of is Rooting my phone (not a fun-packed process! ðŸ˜±)",5
com.textra,Matt Thompson,"For some reason, all of my emojis changed to people of color. Which is great, I'm glad emojis have representation. I'm not a person of color. I didn't make any change or selected those. I was using the old yellow ones because who cares what color your tiny avatars are. It's great the option exists. It's not great to have it shoved in your face without consent. EDIT: To the dev response, given that it's buried under 3 menus, its obviously a very deliberate action. Thanks for proving my point.",1
com.textra,Reza Jahaanbakhsh,ÛŒÙ‡ Ø¨Ø±Ù†Ø§Ù…Ù‡ Ú©Ø§Ù…Ù„ Ùˆ Ù‡Ù…Ù‡ Ú†ÛŒØ² ØªÙ…Ø§Ù… ðŸ‘,5
com.textra,Kunal Gupta,I Was using it perfectly on my Mi 10 and was very happy with it.But now on my Mi 11t pro I am not getting any messages. All the settings are same.,3
