Package Name,Reviewer Name,Review,Rating
org.thoughtcrime.securesms,Jonathan Moore,Jolly good. Does what you want and nothing you don't want.,5
org.thoughtcrime.securesms,Amanda Lee,Nice app,4
org.thoughtcrime.securesms,deb casey,Works really well ðŸ‘Œ,5
org.thoughtcrime.securesms,D. Casu,Lost 1 star for removing SMS support.,4
org.thoughtcrime.securesms,William Sloma,"You stop allowing SMS, you serve no purpose anymore. Uninstalled.",1
org.thoughtcrime.securesms,Carl Stutesman,"My son is active duty Navy, 3rd generation military. He says your app is the most secure.",5
org.thoughtcrime.securesms,Arhaan Sinh,"I utilized this application for a little while and it functioned fine. Nonetheless, the file encryption is really not that great. I had a conversation where somebody was sending me huge data and it took forever for me to receive it because the encryption was bad.",3
org.thoughtcrime.securesms,Marcel Suter,Very useful. Why do I need a phone number. Seems an unnecessary dependency these days.,4
org.thoughtcrime.securesms,Clifford Mermod,Keep up the good work,5
org.thoughtcrime.securesms,Andrew McCardle,"Every phone supports sms, I wouldn't care if it was a paid feature, I'd throw in money for that. The only reason I'd use it now is if I **needed** secure communication, which let's face it, I don't. If I'm contacting customers I can't ask them to download Signal for the odd time I need to contact them so it forces me to maintain multiple apps and communication platforms. That's one of the reasons I don't want to use fb messenger and WhatsApp also. Without this feature, I cannot continue to use.",2
org.thoughtcrime.securesms,Mike,Why remove SMS?,1
org.thoughtcrime.securesms,Tony Strong,Good happy g chat,4
org.thoughtcrime.securesms,EvaEva,Perfect,5
org.thoughtcrime.securesms,Aoi Green,With the fact that you're ditching SMS text messaging makes me no longer want to use Signal and for now on I will only use aTox / proTox also known as Tox chat. By dropping SMS you've made it harder for me to convince people to use this app. So I have switched over to an app for SMS called Silence. It has SMS encryption capabilities I only use the signal to send messages to my signal desktop user. I do not use signal to communicate with others that is how useless you've made this app!!!,1
org.thoughtcrime.securesms,Darmansyah Tanjung,Ok very good,5
org.thoughtcrime.securesms,XY Fu,Wonderful app. I like the fact that Signal does not make use of my data and allows me to donate.,4
org.thoughtcrime.securesms,Eystein H G,"I like the app and I really wanna live it she give five stars, but seeing as it's impossible to get in touch with customer support, you cannot change things as you like (username/name) etc she the user interface makes things overly complicated. It looks like your name is tied to whatever email you're using or Facebook? And you cannot change it, just like if your Facebook is connected to your Instagram account.",3
org.thoughtcrime.securesms,JESSIE SHORE,ðŸ‘ŒðŸ˜,5
org.thoughtcrime.securesms,Andrew Downey,GÃ¼t,5
org.thoughtcrime.securesms,Chris Miles,I like it so far and it's been a good app.,4
org.thoughtcrime.securesms,Angel Avalon,"Any ""private"" messenger or app that claims to be ""secure"" or ""private"" yet requires your personally identifiable info like your PHONE NUMBER is anything but private or secure. 0 stars.",1
org.thoughtcrime.securesms,Beach Bum,n i c e,5
org.thoughtcrime.securesms,Bryan Buckley,"After removing SMS support (changing default sms app), i no longer recieve signal call or message notifications from my starred contacts during do not disturb (where i allow favorite contacts through). Used to work great.",2
org.thoughtcrime.securesms,Mat Eldridge,"Hey a one on one with the Owner could free them for no reason when the radio or alarm interferd, be careful no more using the audio microphonics plus that video and picture storage breaks a virul from bureauchronics. Mooch mute on that >( no <<commitme",5
org.thoughtcrime.securesms,M B,Great app. Just a super bummer to transfer from andriod to Apple or vice-versa. (Cant really transfer) Would be 5 star if they fixed that.,4
org.thoughtcrime.securesms,Johnny,Removal of sms support is a shame. Was a stand out; now an also-ran message app with limited use. Pile on with delayed delivery of messages from what little contacts I have left that use Signal.,2
org.thoughtcrime.securesms,Baharul Islam,I was bragging about Signal infront of my friends for it's privacy but in the end they severely beat me with few features that aren't available on Signal: 1. No Document File sharing (Send images/files with full quality. 2. Instant fingerprint kock 3. File sharing File size limit (Increase the limit atleast to 2GB),1
org.thoughtcrime.securesms,Will Burr,"Liked better before, using both signal contacts AND other SMS. Else 5 stars.",4
org.thoughtcrime.securesms,Lakshmi Bhudevi,The best of the best,5
org.thoughtcrime.securesms,Mimie Farge,Shame that you removed sms support.,1
org.thoughtcrime.securesms,Digital,"Pretty awesome experience, just dropped a star because it sometimes doesn't send push notifications when in background with chat opened or are late, whitelisted it on every setting, all bypasses, but still time to time, overall, recommended.",4
org.thoughtcrime.securesms,Charles V,It's perfect,5
org.thoughtcrime.securesms,Nicholas Baker,Forced updates.,1
org.thoughtcrime.securesms,Proclivities,ðŸ˜‹ðŸ‘ðŸ‘ðŸ‘ðŸ‘,5
org.thoughtcrime.securesms,Omole Oluwatosin,Great,1
org.thoughtcrime.securesms,Ù,Time to relax about privacy...,5
