Package Name,Reviewer Name,Review,Rating
xyz.klinker.messenger,Frank Lunegeja,It is better,4
xyz.klinker.messenger,Mary Buchanan,"Since new update, app doesn't show new messages when you open the app. It notifies you there is a message, but the new messages are not at the top of the list. Even when you scroll down the list, it doesn't show the new messages.",2
xyz.klinker.messenger,Kim Lyons,Everything was great for the past 3 years with pulse until this current update! Now I'm not receiving my text...random pics are sending by themselves and some more... fix this issue!,1
xyz.klinker.messenger,Travis Quiring,I have been using this app for a few years and this last few days my messages are no longer being properly sorted. I have tried uninstalling and reinstalling several time. Is there a solution to this?,2
xyz.klinker.messenger,Tony Minsent,"Used to be great, but has gone downhill recently. Most recent update broke the message list. Convos no longer automatically update to the top of the list when you receive a text.",3
xyz.klinker.messenger,Thomas Johnson,love the pulse music app! very customizable. love the shuffle because it plays every song once. before you start over,5
xyz.klinker.messenger,William Rod,"Been using it for awhile with no issues, except now it seems like the new messages are no longer being pushed to the top of the list. Will go back to 5 stars once that is fixed.",2
xyz.klinker.messenger,Matt Witz,I tried this app out and canceled the same day it said it would not charge me. I was charged for a year subscription. I downloaded again today opened and canceled again for the second time. I took a screenshot of the cancelation this time.,1
xyz.klinker.messenger,Raham Sk,Mulchandsk,5
xyz.klinker.messenger,Brad Wake,"I have had for years, and used to work fine until a recent update. Now, after sending a new message, the message does not move to the top of the list of messages. The messages remain in the previous order. I have tried removing and reinstalling the app. Still no good. I'll try it again in a few weeks, and see if it's corrected.",2
xyz.klinker.messenger,Adeeb Choudhury,Buggy after the last update. New texts are not highlighted or brought to the top of the message list. Have to hunt down & check all texts to see if a new message has come in.,4
xyz.klinker.messenger,M G,No app for wear os so can't get messages on galaxy watch,3
xyz.klinker.messenger,Naya S,"This used to be awesome, but then they put the scheduled messages behind a pay wall. This was the only reason I downloaded this app, so I will be finding a new one.",1
xyz.klinker.messenger,Tee â€œTJâ€ Jay,"Can't sync phone and tablet,",1
xyz.klinker.messenger,Shahzaib Zaibi,nice,5
xyz.klinker.messenger,Jeremiah excellence Sediq,Amazing,5
xyz.klinker.messenger,James Kelling,"Lately i get the notification that I get a message and it is nowhere to be found when I open the app, and only appears once I open the respective conversation. Message log screen doesn't update until I send a message back. Very annoying. Switching to a different messaging app until this is fixed.",1
